,author_id
0,791F376ACA3C08D
1,D3307ADEFFA285C
2,96A3F0358E7808D
3,7F9EA8B1A449BFC
5,C02C514DAA9D885
7,184F09732A68A08
8,6033FF110F6CD23
9,4B25015E4D7A1DA
10,8843FBA0937364E
12,675A82764372546
15,61ED6D289B34165
23,CBF46E5BEDF2F9A
24,241D91E70A625DB
26,E32005224E7097C
30,D1477CF898A1779
33,F5B4FD0698E670E
34,CDDE7C6384DB37A
36,31E49853DC8D7FE
37,5C82AAF7008477B
39,EDAF055827094B9
41,837772783909813
43,8858ED4249110B6
45,3C9E3783EDA890D
46,FD9685A76BB9996
50,903C721CA623708
51,53AC71A018AE7AA
52,CF665A7987B3423
56,A2B75A372F54FBA
57,F9939C4F2B7BCA4
58,746667B74AFF5F7
59,92DCD776A59FF1C
60,F7BB8143C795EA9
62,34B36FE96BBD5EE
63,04C3B6DEFE22FB1
65,E43198E91F2D342
67,D47B70D9699520A
69,EB66A9656D57CB3
71,B6107B775034EE6
72,A19218419BE631A
73,D2BC342A1ADA289
74,23B53BF6709381C
75,CCA8F6C77A2C4B9
77,96D49FC226FCD1A
78,3E58BEA4B5A39F9
79,CAD20D4ABB882C8
82,B477402B70FBC1A
84,949410AE9D72DA4
85,530AE519EDDAED8
86,149C8C8B439A406
87,29A468BE322892B
92,41E142C8797348E
93,B70B41CF50AA150
94,6D1D40D537B071F
95,5D7ADA74FE6E018
97,DE6E19493E35CE1
103,071EB59F71236C3
104,45B83C0197EBF8A
105,C3BEA238A4590A0
108,3E010621E2CD0B2
113,20DB8D2ED6200DE
114,32995759D8C2673
116,CBFA7DE2DA5D1D1
118,A3B35680022155E
119,1A8023585CF6BAF
120,3BAFB4DBB28524B
121,648BB49DD3F8B0F
123,DFC27FA525A33D9
