,podcast_id,category
7,f2970432aad718a000ebac10e48ae6b0,arts
8,f2970432aad718a000ebac10e48ae6b0,arts-performing-arts
9,f2970432aad718a000ebac10e48ae6b0,society-culture
886,d34629baca14d87860276b12a6cb7a3b,arts
887,d34629baca14d87860276b12a6cb7a3b,arts-fashion-beauty
888,d34629baca14d87860276b12a6cb7a3b,society-culture
1032,d739564fca425b41c8c785d82ec64c18,society-culture
1033,d739564fca425b41c8c785d82ec64c18,tv-film
2647,db5b30cfb0043319e80b43b30071bb7a,sports
2648,db5b30cfb0043319e80b43b30071bb7a,tv-film
6408,dda9360560ecf7b41c8646aa5a1c62b0,tv-film
6409,dda9360560ecf7b41c8646aa5a1c62b0,tv-film-after-shows
8029,fa3cac03e05c1e9ec792e95e4850d7ce,business
8030,fa3cac03e05c1e9ec792e95e4850d7ce,news
8034,a3a535f66c7e8004e7dc54c2b2829a9e,business
8035,a3a535f66c7e8004e7dc54c2b2829a9e,business-management
8036,a3a535f66c7e8004e7dc54c2b2829a9e,history
8037,f335df99185d1401ada492230b42514a,business
8038,f335df99185d1401ada492230b42514a,business-entrepreneurship
8039,f335df99185d1401ada492230b42514a,education
8067,a6cc4101cb004140936103e2ffbf8451,business
8068,a6cc4101cb004140936103e2ffbf8451,business-careers
8069,a6cc4101cb004140936103e2ffbf8451,business-investing
8089,c2adb71e6b51e1397b49e216e07f3cef,business
8090,c2adb71e6b51e1397b49e216e07f3cef,business-careers
8091,c2adb71e6b51e1397b49e216e07f3cef,business-marketing
8097,b16332f51b9746dc5a97c7ce37644fc6,business
8098,b16332f51b9746dc5a97c7ce37644fc6,business-investing
8104,cc451ec20dfe8f985c246cc71749917d,business
8105,cc451ec20dfe8f985c246cc71749917d,business-careers
8106,cc451ec20dfe8f985c246cc71749917d,business-investing
8107,cc451ec20dfe8f985c246cc71749917d,education
8127,bead83f2330788f9e629cce951e1df99,business
8128,bead83f2330788f9e629cce951e1df99,business-investing
8129,bead83f2330788f9e629cce951e1df99,education
8157,ee41bdc529ac60b6cd3b9a50413b0dee,business
8158,ee41bdc529ac60b6cd3b9a50413b0dee,business-entrepreneurship
8159,ee41bdc529ac60b6cd3b9a50413b0dee,business-marketing
10359,c1adb6ca5ca39575420fda03c099b037,business
10360,c1adb6ca5ca39575420fda03c099b037,business-careers
10361,c1adb6ca5ca39575420fda03c099b037,education
10362,c1adb6ca5ca39575420fda03c099b037,education-self-improvement
13833,db93a05fe337aea2061b59c96e647100,comedy
13834,bc5ddad3898e0973eb541577d1df8004,comedy
13835,bc5ddad3898e0973eb541577d1df8004,true-crime
13849,f6ea6b0ac7093ad8b8a4b4e25ccaa9ba,comedy
13850,f6ea6b0ac7093ad8b8a4b4e25ccaa9ba,tv-film
13862,b797f4b76e5f45b0b09deb8e7b253222,comedy
13865,e72fef562b39dd0db4be8ab63dc49486,comedy
13866,e72fef562b39dd0db4be8ab63dc49486,technology
13879,cd1e45d433d4a6a4e387f3c4dfa24327,comedy
13890,ed1d26a2f16587ec292421e188f8ee83,comedy
13891,ed1d26a2f16587ec292421e188f8ee83,health-fitness
13892,ed1d26a2f16587ec292421e188f8ee83,health-fitness-sexuality
13893,d56f2cb3c5e10e4d7793046db261ed8a,comedy
13894,d56f2cb3c5e10e4d7793046db261ed8a,tv-film
13895,cfdc22c82e0b7b16f4c8777cd2281fcf,arts
13896,cfdc22c82e0b7b16f4c8777cd2281fcf,comedy
13897,cfdc22c82e0b7b16f4c8777cd2281fcf,society-culture
13911,e434f25919f4ce7bfcf364207aeb4f2b,comedy
13912,e434f25919f4ce7bfcf364207aeb4f2b,comedy-comedy-interviews
13913,e434f25919f4ce7bfcf364207aeb4f2b,society-culture
13928,d8f61fe7d9a3ba1bd96ceb4c3bf49ce6,comedy
13935,d9dd27d67513af6b0721fc63b492e67d,comedy
13970,fb71702547a7539742dc43829e4bca7a,comedy
13989,d921639c7fad6605caa1353cad306f18,arts
13990,d921639c7fad6605caa1353cad306f18,arts-performing-arts
13991,d921639c7fad6605caa1353cad306f18,comedy
13992,d921639c7fad6605caa1353cad306f18,comedy-improv
15025,c88a64d98da7daf286f406c7c49f925b,education
15026,c88a64d98da7daf286f406c7c49f925b,society-culture
15027,c88a64d98da7daf286f406c7c49f925b,society-culture-places-travel
17582,b9882bf2a7b5d0d2dfcab43a7be6d1c7,leisure
17583,b9882bf2a7b5d0d2dfcab43a7be6d1c7,leisure-video-games
17584,b9882bf2a7b5d0d2dfcab43a7be6d1c7,technology
17599,af6c694ee9ee18c1d699d35056a96fd5,leisure
17600,af6c694ee9ee18c1d699d35056a96fd5,leisure-games
17647,dc4f2b92fc02836e1e9ce24560f2c308,leisure-video-games
18080,a61cde11d99095d5f55c509e4729dbd1,sports
18081,a61cde11d99095d5f55c509e4729dbd1,sports-fantasy-sports
18082,a61cde11d99095d5f55c509e4729dbd1,sports-football
21648,ff0f334b97d879f9c51bb81bf0b65f7a,society-culture
22976,c9add5e9e81a4b3ca963adab5b87083f,health-fitness
22977,c9add5e9e81a4b3ca963adab5b87083f,health-fitness-nutrition
22979,bf5474a2c5638aa23ba52d95a2666b8d,health-fitness-alternative-health
22986,e112d2738b4d1b51f826072a13333591,society-culture
22992,b5c350c463c787b2b02204029bfc0885,health-fitness-mental-health
23007,caba7b32181b486496ff69dc9a49d2f3,health-fitness
23065,d2da82feac2f430eb12a29a5ca22d0c5,health-fitness
23066,efa1c3c47511c316ea7082ed4fd22146,health-fitness
23075,eb31bc4c8bf332569e5697d3166a4fec,education
23076,eb31bc4c8bf332569e5697d3166a4fec,education-self-improvement
23077,eb31bc4c8bf332569e5697d3166a4fec,health-fitness
25658,c4b4a343d1131676bf592d266629d6dc,health-fitness
25659,c4b4a343d1131676bf592d266629d6dc,health-fitness-alternative-health
25660,c4b4a343d1131676bf592d266629d6dc,health-fitness-nutrition
25661,c4b4a343d1131676bf592d266629d6dc,society-culture
25662,c4b4a343d1131676bf592d266629d6dc,society-culture-relationships
26526,e28892fd142248a15b9d46b30ebd9d38,education
26527,e28892fd142248a15b9d46b30ebd9d38,education-self-improvement
26528,e28892fd142248a15b9d46b30ebd9d38,religion-spirituality
26775,d6ef1df72820e4fc2591f8c3a295b1b7,education
26776,d6ef1df72820e4fc2591f8c3a295b1b7,education-self-improvement
